Compound,Date,Negative,Neutral,Positive,Tweets Ago,User
0.9393,Wed Jul 04 19:03:04 +0000 2018,0.439,0.0,0.561,1,@BBC
-0.5103,Wed Jul 04 18:02:03 +0000 2018,0.535,0.321,0.144,2,@BBC
0.6597,Wed Jul 04 16:52:02 +0000 2018,0.631,0.086,0.284,3,@BBC
-0.296,Wed Jul 04 16:02:01 +0000 2018,0.855,0.145,0.0,4,@BBC
0.0,Wed Jul 04 14:27:00 +0000 2018,1.0,0.0,0.0,5,@BBC
0.0,Wed Jul 04 14:04:05 +0000 2018,1.0,0.0,0.0,6,@BBC
-0.8934,Wed Jul 04 13:01:25 +0000 2018,0.526,0.474,0.0,7,@BBC
0.7964,Wed Jul 04 12:34:02 +0000 2018,0.645,0.068,0.287,8,@BBC
0.6114,Wed Jul 04 12:01:08 +0000 2018,0.6,0.0,0.4,9,@BBC
0.0,Wed Jul 04 11:01:08 +0000 2018,1.0,0.0,0.0,10,@BBC
-0.802,Wed Jul 04 10:17:15 +0000 2018,0.725,0.275,0.0,11,@BBC
0.7351,Wed Jul 04 08:00:11 +0000 2018,0.592,0.0,0.408,12,@BBC
-0.4019,Wed Jul 04 07:23:02 +0000 2018,0.87,0.13,0.0,13,@BBC
0.34,Wed Jul 04 07:00:12 +0000 2018,0.789,0.0,0.211,14,@BBC
0.6597,Tue Jul 03 21:01:39 +0000 2018,0.646,0.102,0.252,15,@BBC
-0.3182,Tue Jul 03 20:55:51 +0000 2018,0.905,0.095,0.0,16,@BBC
0.2023,Tue Jul 03 19:32:04 +0000 2018,0.917,0.0,0.083,17,@BBC
-0.5106,Tue Jul 03 18:00:25 +0000 2018,0.752,0.248,0.0,18,@BBC
0.4019,Tue Jul 03 17:01:03 +0000 2018,0.753,0.067,0.18,19,@BBC
0.0,Tue Jul 03 16:00:18 +0000 2018,1.0,0.0,0.0,20,@BBC
0.128,Tue Jul 03 15:21:59 +0000 2018,0.923,0.0,0.077,21,@BBC
0.6808,Tue Jul 03 15:07:30 +0000 2018,0.547,0.124,0.328,22,@BBC
0.0,Tue Jul 03 14:23:58 +0000 2018,1.0,0.0,0.0,23,@BBC
-0.6705,Tue Jul 03 14:03:05 +0000 2018,0.8,0.2,0.0,24,@BBC
0.5411,Tue Jul 03 12:19:44 +0000 2018,0.811,0.0,0.189,25,@BBC
0.2732,Tue Jul 03 12:00:20 +0000 2018,0.861,0.0,0.139,26,@BBC
0.0,Tue Jul 03 11:31:42 +0000 2018,1.0,0.0,0.0,27,@BBC
0.128,Tue Jul 03 11:02:04 +0000 2018,0.903,0.0,0.097,28,@BBC
-0.9028,Tue Jul 03 09:37:17 +0000 2018,0.604,0.396,0.0,29,@BBC
0.0,Tue Jul 03 08:00:15 +0000 2018,1.0,0.0,0.0,30,@BBC
0.8541,Tue Jul 03 07:26:06 +0000 2018,0.67,0.0,0.33,31,@BBC
0.0,Tue Jul 03 07:01:02 +0000 2018,1.0,0.0,0.0,32,@BBC
